time GYR_X_865 Q_X_865 Q_Y_871 GYR_Y_871 Q_Z_925 GYR_Z_925 UPP_X_865 UPP_Y_871 UPP_Z_925 
sec V V V V V V V V V 
# ai0 ai1 ai2 ai3 ai4 ai5 ai6 ai7 ai8 
181.330000 2.477674632991280656568733 2.538862810344167275644622 2.517930010274766150502046 2.480411998337034518158362 2.474132160257657364610395 2.477030547034112295534669 2.608263112889491086576754 2.627746729878524867274336 2.603754507642687787694058 
181.340000 2.482505277749452954338949 2.531133776161502257906477 2.513260386007480029491035 2.478640761931703018206008 2.489107159145842462777409 2.481700170280021655599967 2.608102091271353728529903 2.625975491872362344025760 2.606491875098866373150486 
181.350000 2.478962804913089179592589 2.532582970042989600756300 2.533388077760460710408097 2.470750709082125240456662 2.478801783422318383287575 2.480089955352845265679207 2.607780048035564846031775 2.626780600054546610522266 2.599567945741057872766078 
181.360000 2.480250976844862176307061 2.546913888005872816933106 2.536286465576101267771492 2.477030547034112295534669 2.489912266651154837404647 2.477191568523170683846502 2.607135961565923309990467 2.624043232251678237076931 2.597152621616601209098008 
181.370000 2.478157697460791286658832 2.533710120848556179851130 2.528879474593522580505578 2.468657429817317616738137 2.482505277749452954338949 2.481378127293340174475134 2.614542956122906769422798 2.623882210617675792008185 2.601178161844170944050347 
181.380000 2.479284847895097954051380 2.534837271661873003836263 2.532421948499969932555587 2.473810117285605958414862 2.485242643174669030514679 2.475742375127243821708589 2.609390264220973865150199 2.623560167350158511823111 2.597796708046245850454170 
181.390000 2.482666299243806662389034 2.547880017351932480096366 2.525659043835821293555455 2.471555816498655300250675 2.488141030144620735597982 2.479123826404015851210261 2.610034350699661942485363 2.622916080817069506281314 2.601017140233134572468998 
181.400000 2.479123826404015851210261 2.529201517672766463817879 2.527913345359581231974744 2.474454203230330495699718 2.493454739720930124491360 2.480250976844862176307061 2.611644566907695530488809 2.625170383694237496996493 2.599567945741057872766078 
181.410000 2.478157697460791286658832 2.543371413785876278268461 2.530489689996062274701671 2.470267644634071224629679 2.489912266651154837404647 2.479445869386335932205156 2.611000480422542402436648 2.627263664965804768058888 2.597313643223770895929192 
181.420000 2.477513611501755086408139 2.538218724148350258218443 2.518896139450041982144057 2.476708504056461368492137 2.488624094644529272102318 2.477513611501755086408139 2.609229242601705855975069 2.626458556781186004513984 2.601017140233134572468998 
181.430000 2.482827320738316245751776 2.544981629330899330909688 2.516641838049881840788657 2.476386461079433498611024 2.492005546183243769320370 2.474293181743916214543333 2.613254783131897962533685 2.622271994286576202171091 2.597957729654059466639637 
181.440000 2.480895062814486351498999 2.537091573311767600529265 2.526786194593833467791910 2.478801783422318383287575 2.492327589190524328444099 2.484115492700004867998587 2.613254783131897962533685 2.628390816431092513738577 2.599084880913266726309985 
181.450000 2.478962804913089179592589 2.540956090498078356887390 2.533549099304429397250260 2.470106623151696823015300 2.495870062311886794503835 2.482988342232981704427175 2.614059891250064993073465 2.622755059184202597322155 2.596991600009592282560789 
181.460000 2.481700170280021655599967 2.537896681051392100414432 2.514709579731442712358103 2.473971138771553945900905 2.494903933271281015748855 2.481056084307281750511720 2.615187042622294733007493 2.623077102450098507802068 2.594254232715077712612128 
181.470000 2.479606890877729785671590 2.547880017351932480096366 2.525337000763523853663628 2.476225439591152710505639 2.499734578530650619399012 2.482022213267326637975430 2.612610696640276675140058 2.627102643328556474955349 2.598279772870170312160099 
181.480000 2.479928933860984230364011 2.526142108445450951137445 2.512777321435656574522000 2.476386461079433498611024 2.494420868753089770564202 2.474454203230330495699718 2.612449675017775696517219 2.621788929390408640074384 2.596669556796058486725087 
181.490000 2.479928933860984230364011 2.547718995793858631770945 2.531294797703257604126748 2.471394795015038337027136 2.494742911765060799922367 2.481861191773596431175974 2.615509085872959715857178 2.624848340424123627201425 2.600212032180369003953047 
181.500000 2.478479740441243528437099 2.535481357844391769873482 2.523082699275111195902355 2.476064418103027353623702 2.479928933860984230364011 2.478318718950939469891637 2.610839458801657908537663 2.620178713080389076850452 2.599728967350644293077266 
181.510000 2.482666299243806662389034 2.546269801778342500853114 2.522921677741407631145876 2.471072752048271148339609 2.492005546183243769320370 2.478157697460791286658832 2.609551285840403522797715 2.625331405329537570736420 2.599889988960391473682421 
181.520000 2.477835654480962102041985 2.539184853443026135266791 2.526786194593833467791910 2.475259310664735146190196 2.488785116144810682925481 2.477996675970798534649475 2.608585156126249859909194 2.625814470236412567771822 2.599567945741057872766078 
181.530000 2.480573019829362291233110 2.528396409975841141459796 2.519540225570042313307795 2.475581353639585202586204 2.478640761931703018206008 2.480089955352845265679207 2.612932739885763577802891 2.622916080817069506281314 2.601661226678248617361078 
181.540000 2.484276514195917773264455 2.542888349125462799094066 2.531294797703257604126748 2.478479740441243528437099 2.484437535691986109753771 2.482988342232981704427175 2.609551285840403522797715 2.626136513508474656930503 2.602305313125942376473176 
181.550000 2.475742375127243821708589 2.550939426985511904177883 2.524531893085541600640909 2.472038880950437889083560 2.480411998337034518158362 2.479123826404015851210261 2.607941069653378463044646 2.626297535144749062396841 2.606491875098866373150486 
